RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30
395078,15,"Seattle, WA",msa,WA,59.0,72.0,127.0,103.0,82.0,86.0,62.0,50.0,50.0,60.0,62.0,85.0,110.0,182.0,149.0,99.0,141.0,51.0,41.0,41.0,35.0,20.0,37.0,33.0,22.0,34.0,41.0,23.0,14.0,17.0,23.0,35.0,29.0,17.0,32.0,17.0,27.0,43.0,63.0,58.0,72.0,71.0,48.0,56.0,84.0,51.0,48.0,86.0,49.0,78.0,73.0,42.0,63.0,45.0,19.0,27.0,50.0,41.0,31.0,29.0,16.0,36.0,52.0,43.0,41.0,43.0,33.0,29.0,31.0
395148,18,"Tampa, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,31.0,55.0
394998,25,"Portland, OR",msa,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,17.0,7.0,11.0,13.0,12.0,13.0,14.0,11.0,26.0,16.0
395045,26,"Sacramento, CA",msa,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
394466,28,"Cincinnati, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,9.0,10.0,11.0,12.0,24.0,21.0,16.0,19.0,18.0,15.0,12.0,7.0,30.0,15.0,12.0,10.0,15.0,18.0,10.0,12.0,7.0,9.0,7.0,9.0,12.0,13.0,22.0,32.0,17.0,18.0,24.0,12.0,17.0,20.0,9.0,10.0,8.0,13.0,23.0,13.0,27.0,8.0,9.0
394355,29,"Austin, TX",msa,TX,82.0,57.0,57.0,52.0,49.0,39.0,50.0,49.0,154.0,206.0,69.0,32.0,19.0,15.0,28.0,25.0,21.0,16.0,33.0,89.0,10.0,11.0,16.0,37.0,13.0,18.0,21.0,17.0,13.0,40.0,28.0,45.0,41.0,37.0,35.0,67.0,44.0,39.0,68.0,40.0,32.0,42.0,30.0,45.0,29.0,52.0,28.0,58.0,25.0,26.0,35.0,24.0,26.0,36.0,21.0,24.0,33.0,19.0,32.0,35.0,20.0,33.0,43.0,25.0,37.0,29.0,30.0,35.0,33.0
394492,32,"Columbus, OH",msa,OH,41.0,24.0,48.0,37.0,51.0,51.0,20.0,30.0,38.0,48.0,25.0,44.0,66.0,82.0,134.0,155.0,154.0,126.0,69.0,10.0,22.0,24.0,23.0,22.0,8.0,10.0,17.0,20.0,23.0,25.0,36.0,45.0,38.0,26.0,32.0,13.0,17.0,32.0,35.0,27.0,23.0,24.0,22.0,29.0,22.0,36.0,21.0,37.0,21.0,16.0,20.0,24.0,27.0,20.0,31.0,15.0,16.0,19.0,24.0,15.0,7.0,13.0,15.0,18.0,24.0,19.0,13.0,17.0,18.0
395059,36,"San Jose, CA",msa,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
394902,37,"Nashville, TN",msa,TN,128.0,166.0,184.0,207.0,187.0,214.0,187.0,160.0,129.0,145.0,85.0,128.0,62.0,69.0,86.0,98.0,108.0,101.0,99.0,69.0,50.0,45.0,36.0,54.0,12.0,15.0,17.0,26.0,37.0,51.0,49.0,66.0,64.0,61.0,49.0,99.0,43.0,68.0,89.0,137.0,132.0,120.0,114.0,63.0,37.0,51.0,50.0,50.0,11.0,9.0,23.0,18.0,46.0,82.0,15.0,46.0,31.0,15.0,10.0,26.0,15.0,16.0,29.0,30.0,45.0,46.0,29.0,54.0,27.0
395194,38,"Virginia Beach, VA",msa,VA,29.0,53.0,43.0,57.0,54.0,67.0,54.0,38.0,35.0,30.0,17.0,23.0,14.0,22.0,11.0,20.0,25.0,21.0,16.0,25.0,16.0,16.0,15.0,21.0,14.0,20.0,28.0,24.0,28.0,24.0,35.0,42.0,29.0,29.0,25.0,29.0,9.0,9.0,,,79.0,82.0,70.0,52.0,30.0,28.0,36.0,40.0,17.0,31.0,38.0,38.0,41.0,27.0,24.0,27.0,16.0,29.0,22.0,26.0,16.0,17.0,19.0,21.0,28.0,36.0,25.0,23.0,18.0
395005,39,"Providence, RI",msa,RI,21.0,13.0,19.0,16.0,30.0,16.0,19.0,17.0,10.0,14.0,19.0,15.0,11.0,18.0,16.0,18.0,16.0,22.0,13.0,28.0,22.0,29.0,23.0,24.0,15.0,32.0,20.0,15.0,23.0,20.0,23.0,31.0,38.0,28.0,35.0,25.0,18.0,23.0,36.0,36.0,37.0,28.0,30.0,30.0,32.0,22.0,31.0,37.0,23.0,27.0,40.0,33.0,28.0,35.0,28.0,20.0,31.0,20.0,16.0,33.0,13.0,9.0,16.0,19.0,25.0,25.0,21.0,26.0,31.0
394862,41,"Milwaukee, WI",msa,WI,,,,,,,,,,,,,,,,12.0,21.0,12.0,16.0,12.0,9.0,8.0,10.0,13.0,8.0,10.0,19.0,18.0,20.0,17.0,14.0,11.0,14.0,24.0,15.0,12.0,10.0,6.0,15.0,17.0,20.0,30.0,27.0,21.0,19.0,18.0,17.0,23.0,13.0,6.0,19.0,13.0,9.0,8.0,19.0,7.0,10.0,6.0,10.0,14.0,6.0,11.0,15.0,12.0,16.0,23.0,16.0,15.0,13.0
395022,45,"Richmond, VA",msa,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,9.0,14.0,7.0,7.0
394807,46,"Louisville, KY",msa,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
394910,47,"New Orleans, LA",msa,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,14.0,15.0,13.0,7.0,10.0,10.0
395053,48,"Salt Lake City, UT",msa,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,14.0,14.0,10.0
394640,53,"Grand Rapids, MI",msa,MI,57.0,64.0,59.0,52.0,59.0,49.0,54.0,71.0,43.0,56.0,38.0,40.0,31.0,29.0,45.0,46.0,47.0,34.0,33.0,27.0,34.0,39.0,26.0,18.0,19.0,21.0,22.0,13.0,17.0,42.0,36.0,40.0,39.0,69.0,36.0,52.0,39.0,46.0,48.0,39.0,61.0,56.0,53.0,41.0,45.0,67.0,38.0,37.0,24.0,29.0,33.0,28.0,34.0,31.0,35.0,38.0,31.0,23.0,28.0,24.0,10.0,17.0,25.0,33.0,18.0,29.0,27.0,29.0,32.0
753924,55,"Urban Honolulu, HI",msa,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
395238,58,"Worcester, MA",msa,MA,,,,,,,,,,,,,,,,,,,,,,13.0,17.0,8.0,10.0,8.0,9.0,24.0,12.0,23.0,15.0,20.0,22.0,30.0,24.0,31.0,5.0,11.0,20.0,29.0,29.0,29.0,28.0,25.0,22.0,22.0,18.0,29.0,14.0,8.0,22.0,15.0,32.0,59.0,32.0,33.0,15.0,22.0,11.0,25.0,25.0,12.0,11.0,17.0,19.0,29.0,15.0,29.0,15.0
394440,78,"Cape Coral, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,18.0,12.0,9.0,34.0,28.0
395006,92,"Provo, UT",msa,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,14.0,34.0,46.0,16.0,40.0,39.0,43.0,29.0,37.0,20.0,18.0,10.0,16.0,30.0,21.0,39.0,23.0,22.0,23.0,34.0,18.0,14.0,22.0,12.0,30.0,45.0,34.0,31.0,31.0,22.0,11.0,15.0
394997,105,"Portland, ME",msa,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,16.0,14.0,15.0,15.0,18.0,13.0,17.0,12.0,19.0,32.0,21.0,36.0,21.0,16.0,18.0,28.0,33.0,49.0,14.0,15.0,24.0,34.0,12.0,26.0,20.0,28.0,18.0,27.0,21.0,29.0,28.0,16.0,13.0,13.0,17.0,18.0,24.0,17.0,12.0
394971,111,"Pensacola, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
394898,117,"Myrtle Beach, SC",msa,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,14.0,17.0,8.0,9.0,18.0,14.0,28.0,21.0
394596,135,"Flint, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
394901,147,"Naples, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,5.0
753875,176,"Crestview, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,25.0
394732,190,"Kalamazoo, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0
394361,202,"Barnstable Town, MA",msa,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
394519,203,"Daphne, AL",msa,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0
394773,214,"Las Cruces, NM",msa,NM,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394896,250,"Muskegon, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
394930,271,"Odessa, TX",msa,TX,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394407,356,"Bozeman, MT",msa,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
394674,467,"Heber, UT",msa,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,7.0,6.0,5.0,10.0,8.0,12.0,13.0
395020,517,"Rexburg, ID",msa,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,6.0,14.0
